1-PAGE LIMITED,1PG
ARGO INVESTMENTS LIMITED,ARG
ARGONAUT RESOURCES NL,ARE
ARGOSY MINERALS LIMITED,AGY
ARIADNE AUSTRALIA LIMITED,ARA
ARISTOCRAT LEISURE LIMITED,ALL
ARK MINES LIMITED,AHK
ARMIDALE INVESTMENT CORPORATION LIMITED,AIK
ARMOUR ENERGY LIMITED,AJQ
AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED,AWQ
AROWANA INTERNATIONAL LIMITED,AWN
ARRIUM LIMITED,ARI
ARROWHEAD RESOURCES LIMITED,AR1
ARTEMIS RESOURCES LIMITED,ARV
ARUMA RESOURCES LIMITED,AAJ
ARUNTA RESOURCES LIMITED,AJR
ASALEO CARE LIMITED,AHY
ASAPLUS RESOURCES LIMITED,AJY
ASCIANO LIMITED,AIO
ASF GROUP LIMITED,AFA
ASG GROUP LIMITED,ASZ
ASHLEY SERVICES GROUP LIMITED,ASH
ASIA PACIFIC DATA CENTRE GROUP,AJD
ASIA PACIFIC DIGITAL LIMITED,DIG
ASIAN AMERICAN MEDICAL GROUP LIMITED,AJJ
ASIAN DEVELOPMENT BANK,ATB
ASIAN MASTERS FUND LIMITED,AUF
ASK FUNDING LIMITED,AKF
ASPEN GROUP,APZ
ASPERMONT LIMITED.,ASP
ASPIRE MINING LIMITED,AKM
ASSEMBLEBAY LIMITED,ASY
ASTIVITA LIMITED,AIR
ASTRO JAPAN PROPERTY GROUP,AJA
ASTRO RESOURCES NL,ARO
ASTRON CORPORATION LIMITED,ATR
ASX LIMITED,ASX
ATC ALLOYS LTD,ATA
ATCOR MEDICAL HOLDINGS LIMITED,ACG
ATHENA RESOURCES LIMITED,AHN
ATLANTIC LIMITED,ATI
ATLAS IRON LIMITED,AGO
ATLAS PEARLS AND PERFUMES LTD,ATP
ATRUM COAL NL,ATU
ATTILA RESOURCES LIMITED,AYA
AUB GROUP LIMITED,AUB
AUCKLAND INTERNATIONAL AIRPORT LIMITED,AIA
AUDALIA RESOURCES LIMITED,ACP
AUDIO PIXELS HOLDINGS LIMITED,AKP
AUGUR RESOURCES LIMITED,AUK
AURA ENERGY LIMITED,AEE
AURELIA METALS LIMITED,AMI
AURIZON HOLDINGS LIMITED,AZJ
AUROCH MINERALS NL,AOU
AURORA ABSOLUTE RETURN FUND,ABW
AURORA DIVIDEND INCOME TRUST (MANAGED FUND),AOD
AURORA GLOBAL INCOME TRUST,AIB
AURORA MINERALS LIMITED,ARM
AURORA PROPERTY BUY-WRITE INCOME TRUST,AUP
AUS ASIA MINERALS LIMITED,AQJ
AUS TIN MINING LTD,ANW
AUSDRILL LIMITED,ASL
AUSENCO LIMITED,AAX
AUSGOLD LIMITED,AUC
AUSMON RESOURCES LIMITED,AOA
AUSNET SERVICES HOLDINGS PTY LTD,ANV
AUSNET SERVICES LIMITED,AST
AUSQUEST LIMITED,AQD
AUSROC METALS LTD,ARK
AUSTAL LIMITED,ASB
AUSTEX OIL LIMITED,AOK
AUSTIN ENGINEERING LIMITED,ANG
AUSTIN EXPLORATION LIMITED,AKK
AUSTOCK GROUP LIMITED,ACK
AUSTPAC RESOURCES NL,APG
AUSTRAL GOLD LIMITED,AGD
AUSTRALASIAN RESOURCES LIMITED,ARH
AUSTRALASIAN WEALTH INVESTMENTS LIMITED.,AWI
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,ANZ
AUSTRALIA CHINA HOLDINGS LIMITED,AAK
AUSTRALIA NEW AGRIBUSINESS & CHEMICAL GROUP LTD,ANB
AUSTRALIA UNITED MINING LIMITED,AYM
AUSTRALIAN AGRICULTURAL COMPANY LIMITED.,AAC
AUSTRALIAN AGRICULTURAL PROJECTS LIMITED,AAP
AUSTRALIAN BAUXITE LIMITED.,ABX
AUSTRALIAN CAREERS NETWORK LIMITED,ACO
AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,XCL
AUSTRALIAN DAIRY FARMS GROUP,AHF
AUSTRALIAN ENHANCED INCOME FUND,AYF
AUSTRALIAN ETHICAL INVESTMENT LIMITED,AEF
AUSTRALIAN FINANCE GROUP LTD,AFG
AUSTRALIAN FOUNDATION INVESTMENT COMPANY LIMITED,AFI
AUSTRALIAN GOVERNANCE MASTERS INDEX FUND LIMITED,AQF
AUSTRALIAN GOVERNMENT TREASURY BONDS,GSB
AUSTRALIAN GOVERNMENT TREASURY INDEXED BONDS,GSI
AUSTRALIAN LEADERS FUND LIMITED,ALF
AUSTRALIAN MASTERS CORPORATE BOND FUND NO 5 LIMITED,AKY
AUSTRALIAN MASTERS YIELD FUND NO 1 LIMITED,AYD
AUSTRALIAN MASTERS YIELD FUND NO 2 LIMITED,AYH
AUSTRALIAN MASTERS YIELD FUND NO 3 LIMITED,AYJ
AUSTRALIAN MASTERS YIELD FUND NO 4 LIMITED,AYK
AUSTRALIAN MASTERS YIELD FUND NO 5 LIMITED,AYZ
AUSTRALIAN MINES LIMITED,AUZ
AUSTRALIAN NATURAL PROTEINS LIMITED,AYB
AUSTRALIAN PACIFIC COAL LIMITED,AQC
AUSTRALIAN PHARMACEUTICAL INDUSTRIES LIMITED,API
AUSTRALIAN RENEWABLE FUELS LIMITED,ARW
AUSTRALIAN RURAL CAPITAL LIMITED,ARC
AUSTRALIAN UNITED INVESTMENT COMPANY LIMITED,AUI
AUSTRALIAN UNITY LIMITED,AYU
AUSTRALIAN VANADIUM LIMITED,AVL
AUSTRALIAN VINTAGE LTD,AVG
AUSTRALIAN WHISKY HOLDINGS LIMITED,AWY
AUSWIDE BANK LTD,ABA
AUTHORISED INVESTMENT FUND LIMITED,AIY
AUTOMOTIVE HOLDINGS GROUP LIMITED.,AHG
AVALON MINERALS LIMITED,AVI
AVANCO RESOURCES LIMITED,AVB
AVENIRA LIMITED,AEV
AVENTUS RETAIL PROPERTY FUND,AVN
AVEO GROUP,AOG
AVEXA LIMITED,AVX
AVITA MEDICAL LTD,AVH
AVJENNINGS LIMITED,AVJ
AVZ MINERALS LIMITED,AVZ
AWE LIMITED,AWE
AXA,AXJ
AXIOM MINING LIMITED,AVQ
AXIOM PROPERTIES LIMITED,AXI
AXXIS TECHNOLOGY GROUP LTD,AYG
AZONTO PETROLEUM LTD,APY
AZUMAH RESOURCES LIMITED,AZM
AZURE HEALTHCARE LIMITED,AZV
AZURE MINERALS LIMITED,AZS
BABY BUNTING GROUP LIMITED,BBN
BAILADOR TECHNOLOGY INVESTMENTS LIMITED,BTI
BANDANNA ENERGY LIMITED,BND
BANK OF QUEENSLAND LIMITED.,BOQ
BANNERMAN RESOURCES LIMITED,BMN
BARAKA ENERGY & RESOURCES LIMITED,BKP
BARRA RESOURCES LIMITED,BAR
